,3,5,15,20,25,30,35,40,45,50,55
20,22.5,13.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
25,22.5,12.5,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25
30,22.5,3.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
35,22.5,2,2,2,2,2,2,2,2,2,2
40,22.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
45,22.5,1.25,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
50,22.5,1.75,2,2,2,2,2,2,2,2,2
55,22.5,3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
60,22.5,0,0,0,0,0,0,0,0,0,0
65,22.5,0,0,0,0,0,0,0,0,0,0
70,22.5,0,0,0,0,0,0,0,0,0,0
